#OTU ID	2010-RvD-d1-001	2010-RvD-d1-004	2010-RvD-d1-007	2010-RvD-d1-010	2010-RvD-d1-013	2010-RvD-d1-016	2010-RvD-d1-019	2010-RvD-d1-022	2010-RvD-d1-025	2010-RvD-d1-028	2010-RvD-d1-031	2010-RvD-d1-034	2010-RvD-d1-037	2010-RvD-d1-040	2010-RvD-d1-043	2010-RvD-d1-046	2010-RvD-d1-049	2010-RvD-d1-052	2010-RvD-d1-055	2010-RvD-d1-058	2010-RvD-d1-061	2010-RvD-d1-064	2010-RvD-d1-067	2010-RvD-d1-070	2010-RvD-d1-073	2010-RvD-d1-076	2010-RvD-d1-079	2010-RvD-d1-082	2010-RvD-d1-085	2010-RvD-d1-088	2010-RvD-d1-094	2010-RvD-d1-097	2010-RvD-d1-100	2010-RvD-d1-103	2010-RvD-d1-106	2010-RvD-d1-109	2010-RvD-d1-112	2010-RvD-d1-115	2010-RvD-d1-118	2010-RvD-d1-121	2010-RvD-d1-127	2010-RvD-d1-130	2010-RvD-d1-133	2010-RvD-d1-136	2010-RvD-d1-139	2010-RvD-d1-142	2010-RvD-d1-145	2010-RvD-d1-148	2021-RvD-d1-208	Wasserkontrolle1	Wasserkontrolle2	Wasserkontrolle3
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__simulans	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06366473473027195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__lugdunensis	0.0	0.0	0.0	0.0	0.0	0.0	0.22216261325703385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03898322113935497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05612858861956335	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__granulosum	0.00768912284852428	0.00944588171590157	0.0	0.0	0.0	0.0	0.03469241773962804	0.0	0.002644357901822203	0.0	0.011010638297872341	0.025461214802028266	0.0	0.018082663605051664	0.0	0.019499588864090214	0.005040784529374026	0.0	0.0	0.0	0.06638946638946638	0.017884055058776247	0.02269027269027269	0.01939315208314002	0.0	0.004766857340960305	0.0	0.0	0.0	0.0	0.0	0.006748040091297013	0.012015865608959403	0.0	0.01694915254237288	0.0	0.01085530239770965	0.0041401744787816054	0.0	0.010568031704095112	0.00421179302045728	0.0	0.0155029296875	0.0	0.00421179302045728	0.10725552050473186	0.03089143865842895	0.0103788920845317	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptoniphilaceae;g__Anaerococcus;s__octavius	0.03217602176613237	0.011912640635340834	0.0	0.013021424786130668	0.012520121624038634	0.0	0.015677157844539817	0.014857310973815829	0.0043752103466512815	0.0	0.0376063829787234	0.10524328406516345	0.0	0.018441446613088403	0.009387787852042044	0.09984729237636555	0.0	0.0	0.0	0.0	0.07997227997227997	0.026122777052145083	0.029812779812779813	0.014660851814048437	0.0	0.013607210955104872	0.0	0.0	0.02275972866833274	0.0	0.0	0.009477026892924482	0.0	0.0	0.03272490221642764	0.0032988644293598934	0.009781701061672433	0.006136330031051309	0.0	0.03353882283869074	0.0	0.030441400304414	0.005859375	0.0	0.008498796630565584	0.0	0.0	0.03576341127922971	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptoniphilaceae;g__Anaerococcus;s__sp._HMT_290	0.0	0.0	0.0	0.0	0.0	0.0	0.03427515498330949	0.0	0.0	0.0	0.003457446808510638	0.0	0.0	0.0068168771526980485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0056264442881543255	0.0	0.0	0.0034148490857016964	0.0	0.0	0.0	0.0	0.0	0.0	0.015331944030961596	0.0	0.0	0.010430247718383311	0.0	0.0	0.00731923702498891	0.0	0.006531630706003229	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__aureus	0.014254450819187319	0.0	0.0	0.0	0.24664639599356109	0.0	0.0	0.0	0.2930429347564787	0.0	0.0	0.15546445139713022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04202279202279202	0.0	0.0	0.0	0.5572635135135136	0.0	0.0	0.1548872180451128	0.0	0.15426218120472363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5578111209179171	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__aerogenes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05943850581463644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__propinquum	0.0	0.0	0.0	0.16450904686198803	0.0	0.0	0.0	0.0	0.11914034328573489	0.0	0.0	0.0	0.17253868949621337	0.0	0.0	0.0	0.0	0.015691868758915834	0.0	0.7839450574195002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07265262406283471	0.0	0.19105842822475266	0.0	0.0	0.5005060728744939	0.0	0.04390027279071243	0.0	0.1335206269407068	0.0	0.0	0.0	0.0	0.0	0.3588943379402586	0.26248495788206977	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__capitis	0.10066836221683327	0.0	0.0	0.0	0.0	0.0	0.036599904625655696	0.0	0.0	0.0	0.0	0.0	0.4119196575567995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Dialister;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01971167990585466	0.0	0.0	0.010106382978723405	0.0	0.0	0.0	0.0	0.0036414894866674498	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010974591435047119	0.0	0.0	0.0	0.0	0.0	0.02886962890625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;__;__	0.0	0.02815715059262379	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018506940102538453	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__ureolyticus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016916740217711092	0.0	0.0	0.012606382978723404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02691650390625	0.0	0.0	0.0	0.0	0.01744404151556834	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__kroppenstedtii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004202127659574468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0027436478587617797	0.0	0.0	0.0	0.032920749527247724	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002612277705214508	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30470685383980184
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__pseudodiphtheriticum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1723593570608496	0.0	0.0	0.8690312528640821	0.0	0.0	0.0	0.0	0.13583844067115441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008633521881512354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__warneri	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01937019204161824	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__bovis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045307443365695796	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__sp._HMT_064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.520904202787227	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14899200763449838	0.0	0.0	0.0	0.020113460546673543	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;__	0.0	0.017086817880993924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__yeei	0.0	0.0	0.0	0.0	0.0	0.0	0.004887935145445875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023499068634474853	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023293794051916797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22295623451692817
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptoniphilaceae;g__Anaerococcus;s__prevotii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01949102677258017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseriaceae_[G-1];s__bacterium_HMT_174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0039001560062402497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.038393645189761696	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptoniphilaceae;g__Peptoniphilus;s__harei	0.0	0.0	0.0	0.0	0.014129851547129315	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__thermophilus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001817520901490367	0.0	0.0	0.023108610469205263	0.0	0.0	0.0	0.003813485872768244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptoniphilaceae;g__Anaerococcus;__	0.01809901224344946	0.0	0.0	0.0	0.0	0.0	0.0	0.014636657840541335	0.0	0.0	0.014042553191489362	0.0	0.0	0.004305396096440872	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01455026455026455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004771561493498748	0.0	0.0	0.012402759430500513	0.0	0.0	0.0	0.0	0.011732851985559567	0.0	0.0	0.0	0.0	0.0	0.0	0.0
